Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,26958,-,-,-,19.61,-155.5,-10,2318,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Min efficiency,0.08,Mean efficiency,0.1,max efficiency,0.12,,Solar panel area (m^2),72,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag,INPUT,Min Instantaneous Power (W),Mean Instantaneous Power (W),Max Instantaneous Power (W),,,,,,,,,,,,,,,,,,,,,
2015,4,23,0,0,0,0,0,0,0,0,1,13.17351685,18.95928345,934.5161743,91.62311554,147.5063469,14.86164951,111.4144669,2.743129492,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2015,4,23,0,30,0,0,0,0,0,0,1,13.27825317,18.97078857,934.3011475,91.75413513,147.8036994,14.94826603,111.4144669,2.729991198,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2015,4,23,1,0,0,0,0,0,0,0,3,13.38262329,18.9822937,934.0860596,91.88478851,146.4369867,15.03488255,111.4936676,2.716852903,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2015,4,23,1,30,0,0,0,0,0,0,1,13.28234253,18.97258911,933.821106,91.75749207,143.593353,15.11692429,111.4936676,2.747834682,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2015,4,23,2,0,0,0,0,0,0,0,1,13.18200073,18.96288452,933.5561523,91.63008118,139.5837643,15.19896507,110.3006287,2.778816223,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
